gid	pagina	volgnr	standplaats	ol	nb	x	y	rang	latlon_bonne	crd_bonne
61	391	673	Oosterwolde (Friesland)	6.29377446666666707	52.99442500000000000000	94637	167171	1	01010000206E6C0400C9EEBA36D32C194093A98251497F4A40	01010000206C6C040000000000D01AF7400000000018680441
62	392	688	Oudeholtpade	6.05224668888888928	52.89564722222222222222	78606	155896	1	01010000206E6C04008568F027803518404E197491A4724A40	01010000206C6C040000000000E030F34000000000C0070341
63	393	709	Peer (Kerktoren)	5.45134946666666664	51.13316666666666666667	39710	-40651	1	01010000206E6C0400009AF98D2ECE15401620F79A0B914940	01010000206C6C040000000000C063E3400000000060D9E3C0
64	393	711	Petten (Vroegere kerktoren)	4.65766057777777842	52.76714444444444444445	-15265	140995	1	01010000206E6C040035B245C671A11240371906CA31624A40	01010000206C6C04000000000080D0CDC00000000018360141
65	393	717	Pilsum	7.06368835555555563	53.48380833333333333333	144645	222866	1	01010000206E6C040015FD308537411C407799746EEDBD4A40	01010000206C6C04000000000028A801410000000090340B41
66	394	739	Rhenen	5.5646661333333336	51.95742500000000000000	46786	51104	1	01010000206E6C04003D4DBFD637421640B8AF03E78CFA4940	01010000206C6C04000000000040D8E6400000000000F4E840
67	394	752	Robbezand (Sign. op het-)	5.14885502222222247	53.06293333333333333333	17759	173915	1	01010000206E6C0400BE2871736D9814405A3F10330E884A40	01010000206C6C040000000000C057D14000000000D83A0541
68	395	758	Rolde	6.64637724444444444	52.98952500000000000000	118315	167138	1	01010000206E6C0400E31197EAE3951A4086C954C1A87E4A40	01010000206C6C040000000000B0E2FC400000000010670441
69	395	764	Rotterdam	4.48523280000000035	51.92193888888888888889	-27419	47013	1	01010000206E6C04003AC9FBDDE0F011401C58F01702F64940	01010000206C6C040000000000C0C6DAC000000000A0F4E640
70	395	775	Schagen	4.79641335555555592	52.78720277777777777777	-5900	143207	1	01010000206E6C0400C3D590FB862F13401EF0840FC3644A40	01010000206C6C040000000000000CB7C000000000387B0141
