gid	page	nr	pagenr	jaar	txt1	txt2	crd_bessel	crd_wgs84	ast	excl	crss	latlon_bessel	latlon_wgs84
105907	52	1442	52-1442	1905	Geesteren (Gld.)	H. K. Westelijke stang	0101000020806C0400C3F5285C01720C41F6285C8F06301C41	010100002040710000C3F5285C01720C41F6285C8F06301C41	 	 	 	0101000020D410000085FC898F391C1A4084FBC5A2EE114A40	0101000020E6100000A032E17C9B1B1A404033054ACE114A40
105908	52	1443	52-1443	1904	Geesteren (Ov.) I	R. C. K. Stang	0101000020806C040066666666FC1F0E41000000006F1E1E41	01010000204071000066666666FC1F0E41000000006F1E1E41	 	 	^	0101000020D41000001566A24BD5F21A40DA7B04460F364A40	0101000020E6100000532F47152FF21A4004CE11D8ED354A40
105909	52	3560	52-3560	1926	Geesteren (Ov.) II	R. C. K. Stang	0101000020806C040048E17A140A1E0E417B14AE472C1E1E41	01010000204071000048E17A140A1E0E417B14AE472C1E1E41	*	 	 	0101000020D4100000B37A7B13E4F11A403A1B16B40A364A40	0101000020E6100000B2C945E63DF11A4065EC4546E9354A40
105910	52	1444	52-1444	1904	Geffen	R. C. K. Knop	0101000020806C0400F6285C8F1E8D0341295C8FC2A5751941	010100002040710000F6285C8F1E8D0341295C8FC2A5751941	 	 	 	0101000020D4100000F1F675C583D9154091A31AA834DF4940	0101000020E61000006575D4670ED91540051D6FDA15DF4940
105911	52	1445	52-1445	1900	Geisteren	R. C. K. Stang boven knop	0101000020806C0400A4703D0A97930841D7A3703D7F2F1841	010100002040710000A4703D0A97930841D7A3703D7F2F1841	 	 	 	0101000020D410000099F201BB1A391840FCC69619F2C64940	0101000020E61000007AD5249F8E38184081476A01D4C64940
105912	52	1446	52-1446	1901	Geistingen (B.)	R. C. K. Stang boven knop	0101000020806C0400CDCCCCCC228706410000000009521541	010100002040710000CDCCCCCC228706410000000009521541	 	!	 	0101000020D4100000650A3F9E463D1740F6CAA4A513914940	0101000020E6100000E7ECE49EC33C17405440002CF7904940
105913	52	1447	52-1447	1917	Geldermalsen	H. K. Stang	0101000020806C0400CDCCCCCCE014024133333333F3691A41	010100002040710000CDCCCCCCE014024133333333F3691A41	*	 	 	0101000020D41000004A45F4D8A9261540289ED1AE31F14940	0101000020E6100000C4D4054D3B261540588E255912F14940
105914	52	1448	52-1448	1902	Geldrop N	R. C. K. Stang boven knop	0101000020806C0400AE47E17AC85D0441EC51B81E56481741	010100002040710000AE47E17AC85D0441EC51B81E56481741	 	 	 	0101000020D41000001DBFC6E54A3B1640F9460E9826B64940	0101000020E6100000911972A0D13A1640D04D5B0409B64940
105915	52	1449	52-1449	1902	Geldrop Z	R. C. K. Stang boven knop	0101000020806C0400F6285C8FF45D0441C3F5285C23481741	010100002040710000F6285C8FF45D0441C3F5285C23481741	 	 	 	0101000020D41000008BAF1C8E5F3B16407E491EDA22B64940	0101000020E61000004429FE47E63A164091CF874605B64940
105916	52	1450	52-1450	1902	Geleen I	R. C. K. Stang boven knop	0101000020806C040048E17A1488D30641E17A14AE943A1441	01010000204071000048E17A1488D30641E17A14AE943A1441	 	 	 	0101000020D41000009F9354B6695F174018B08FE07A7C4940	0101000020E6100000678F885EE55E1740FE9E81045F7C4940
105917	52	1451	52-1451	1904	Geleen II	Carmelietenklooster. Stang boven knop	0101000020806C04003333333375BF06415C8FC2F5E53A1441	0101000020407100003333333375BF06415C8FC2F5E53A1441	 	 	 	0101000020D41000009EF47F950C561740120F9207827C4940	0101000020E61000004E81AC958855174045BE5D2B667C4940
105918	52	1452	52-1452	1917	Gellicum	R. C. K. Stang	0101000020806C04003D0AD7A394FA0041E17A14AE9D5E1A41	0101000020407100003D0AD7A394FA0041E17A14AE9D5E1A41	*	 	 	0101000020D41000002E20004353A014408FE2B9F455F04940	0101000020E61000004A573FBCE99F1440DC7668A736F04940
105919	52	1453	52-1453	1904	Gelselaar	H. K. Stang	0101000020806C0400AE47E17A826A0C4148E17A14C5631C41	010100002040710000AE47E17A826A0C4148E17A14C5631C41	 	 	 	0101000020D410000041D9DDDC69191A40D9BD2208BF154A40	0101000020E6100000BF341AE5CB181A400D6217929E154A40
105920	52	1454	52-1454	1900	Gemert	R. C. K. Stang	0101000020806C040066666666B6660541713D0AD7CF2F1841	01010000204071000066666666B6660541713D0AD7CF2F1841	 	 	 	0101000020D4100000F3B47613FFB816402436C0942AC74940	0101000020E6100000DC1C8E3D81B81640AB17657D0CC74940
105921	52	1455	52-1455	1904	Gemonde	R. C. K. Stang boven knop	0101000020806C04000000000060AC02419A999999D59F1841	0101000020407100000000000060AC02419A999999D59F1841	 	 	^	0101000020D4100000E8DF548BF36E1540FB2A656A76CF4940	0101000020E6100000AF33F008826E154007AFB91658CF4940
105922	52	1456	52-1456	1905	Genderen	H. K. Stang boven knop	0101000020806C0400AE47E17A3E680041E17A14AEE9691941	010100002040710000AE47E17A3E680041E17A14AEE9691941	 	 	 	0101000020D4100000FD0EE09CA25B1440D284C3C84BDE4940	0101000020E61000009BFB957C3B5B14406815E2062DDE4940
105923	52	1457	52-1457	1901	Gendringen I	H. K. Stang	0101000020806C0400C3F5285C4D3E0B41C3F5285CBE5D1A41	010100002040710000C3F5285C4D3E0B41C3F5285CBE5D1A41	 	 	 	0101000020D4100000832D1A48DA82194057D6B32FC4EF4940	0101000020E610000004606DF441821940075054DDA4EF4940
105924	52	1458	52-1458	1901	Gendringen II	R. C. K. Stang	0101000020806C04003D0AD7A3783D0B4185EB51B8CB5F1A41	0101000020407100003D0AD7A3783D0B4185EB51B8CB5F1A41	 	 	 	0101000020D4100000729650DF7B82194028BBEBF9EAEF4940	0101000020E6100000F062348FE3811940EC9662A6CBEF4940
105925	52	1459	52-1459	1910	Genemuiden	H. K. Stang boven knop	0101000020806C0400EC51B81E574F08411F85EB5171741F41	010100002040710000EC51B81E574F08411F85EB5171741F41	 	 	 	0101000020D4100000B8E02F76A728184034029E5BFF4F4A40	0101000020E610000092369E631C281840E63F1327DD4F4A40
105926	52	1460	52-1460	1899	Gennep	R. C. K. Stang onder kruis	0101000020806C04003D0AD7A328D30741EC51B81E5C321941	0101000020407100003D0AD7A328D30741EC51B81E5C321941	 	 	 	0101000020D4100000CF9D326C21E01740F22DACA611DA4940	0101000020E610000057E705B098DF17406B033BFCF2D94940
105927	52	1461	52-1461	1899	Gent I	H. K. Stang boven knop	0101000020806C04009A999999EFD80741EC51B81E195E1A41	0101000020407100009A999999EFD80741EC51B81E195E1A41	 	 	 	0101000020D4100000B9337EE028E517400254B6B623F04940	0101000020E6100000F6253F08A0E417406705DB6204F04940
105928	52	1462	52-1462	1899	Gent II	R. C. K. Stang	0101000020806C0400EC51B81E1BD507419A999999C55D1A41	010100002040710000EC51B81E1BD507419A999999C55D1A41	 	 	 	0101000020D41000007133C6A255E317402DBEA9DA1DF04940	0101000020E6100000133CFEDBCCE21740D5F2FD86FEEF4940
105929	52	1463	52-1463	1925	Genum	H. K. Stang	0101000020806C04003D0AD7A326E2064185EB513873192241	0101000020407100003D0AD7A326E2064185EB513873192241	 	 	 	0101000020D41000008B17169BD97F17407D90A84183A94A40	0101000020E6100000B212A558557F17403B74885D5EA94A40
105930	52	1464	52-1464	1924	Gerkesklooster I	H. K. Stang onder bol	0101000020806C0400295C8FC27B8A09418FC2F5A8ACD32141	010100002040710000295C8FC27B8A09418FC2F5A8ACD32141	 	 	 	0101000020D41000000DF26B3AE1CC1840354E1A93039F4A40	0101000020E6100000BBC2FD0F50CC1840A3AF3EFEDE9E4A40
105931	52	1465	52-1465	1924	Gerkesklooster II	G. K. Stang onder knop	0101000020806C04009A9999992F960941295C8FC202D32141	0101000020407100009A9999992F960941295C8FC202D32141	 	 	 	0101000020D41000008571B9F09BD2184039BA3450E99E4A40	0101000020E61000000A9F9A8D0AD2184082001FBCC49E4A40
105932	52	1466	52-1466	1903	St.-Gerlach	R. C. K. Stang	0101000020806C04000AD7A3704B73064152B81E85EB891341	0101000020407100000AD7A3704B73064152B81E85EB891341	 	 	 	0101000020D4100000D7C6684B96311740186CD0BA7D6F4940	0101000020E6100000A2C7C292133117403A889542626F4940
105933	52	1467	52-1467	1903	Gerwen	R. C. K. Stang boven knop	0101000020806C040014AE47E1BC6C0441EC51B81E85BC1741	01010000204071000014AE47E1BC6C0441EC51B81E85BC1741	 	 	 	0101000020D41000006E655CF19A4216402692E7A2B4BE4940	0101000020E610000027A0347421421640215385CD96BE4940
