gid	page	nr	pagenr	jaar	txt1	txt2	crd_bessel	crd_wgs84	ast	excl	crss	latlon_bessel	latlon_wgs84
104940	17	181	17-181	1894	Aachen-Stadtwald (D.)	Aussichtsthurm. Fahnenstange	0101000020806C040052B81E85A3D30841EC51B81E8D9E1241	01010000204071000052B81E85A3D30841EC51B81E8D9E1241	*	 	 	0101000020D4100000BCBCF22CBC4A184007F61F90FD5D4940	0101000020E6100000CD46041D2F4A184001773F9CE25D4940
104941	17	732	17-732	1909	Aagtekerke	H. K. Stang	0101000020806C04003D0AD7A34039D8403D0AD7A3A63A1841	0101000020407100003D0AD7A34039D8403D0AD7A3A63A1841	 	 	 	0101000020D41000000E1F43C80D150C40F1EA40CA14C64940	0101000020E61000008BA93D2DB7140C404FB6B0E6F6C54940
104942	17	733	17-733	1906	Aalburg	H. K. Stang	0101000020806C040048E17A148ACC0041D7A3703D46861941	01010000204071000048E17A148ACC0041D7A3703D46861941	 	 	 	0101000020D4100000860C8A43208B144021C1A30866E04940	0101000020E6100000E177A062B78A14401E0AF23547E04940
104943	17	78	17-78	1900	Aalsmeer	H. K. Stang	0101000020806C0400BA490C02B527FB40931804D6CA0D1D41	010100002040710000BA490C02B527FB40931804D6CA0D1D41	*	 	 	0101000020D4100000AE633DD628FC1240E6766EABBE224A40	0101000020E6100000EC14A8A1CFFB12409203AFE19D224A40
104944	17	734	17-734	1906	Aalst (Gld.)	H. K. Stang	0101000020806C04000AD7A37015B800415C8FC2F57EBA1941	0101000020407100000AD7A37015B800415C8FC2F57EBA1941	 	 	 	0101000020D41000002F7B314B3D8114406E116FD73DE44940	0101000020E6100000D36BC1D1D4801440F25062E71EE44940
104945	17	735	17-735	1903	Aalst (N. Br.)	R. C. K. Stang	0101000020806C04001F85EB513CA8034114AE47E1501B1741	0101000020407100001F85EB513CA8034114AE47E1501B1741	 	!	 	0101000020D4100000CBA5C69EB3E51540EEB18FD8D8B24940	0101000020E6100000992A7E7F3DE51540F02C115FBBB24940
104946	17	79	17-79	1895	Aalten I	H. K. Stang onder kruis	0101000020806C0400B0726891C4F10C41355EBAC9CCBF1A41	010100002040710000B0726891C4F10C41355EBAC9CCBF1A41	*	 	 	0101000020D410000079A9779E94531A40AA8F13CDBEF64940	0101000020E61000001F1A4F7AF4521A40431917459FF64940
104947	17	736	17-736	1901	Aalten II	R. C. K. Stang boven knop	0101000020806C04001F85EB51CEF20C411F85EB51EEBB1A41	0101000020407100001F85EB51CEF20C411F85EB51EEBB1A41	 	 	 	0101000020D41000009FC14BB403541A40F969FBB675F64940	0101000020E6100000A42B048C63531A402C10303156F64940
104948	17	737	17-737	1901	Aalten III	G. K. Stang boven knop	0101000020806C040000000000E0E70C413D0AD7A309C01A41	01010000204071000000000000E0E70C413D0AD7A309C01A41	 	 	 	0101000020D4100000EF2CD41DDF4E1A40012B80CFC4F64940	0101000020E6100000D1D3D4263F4E1A40E6955447A5F64940
104949	17	1	17-1	1896	Aardenburg I	H. K. Stang boven knop	0101000020806C0400F6285C8F3239D340508D97EE15611641	010100002040710000F6285C8F3239D340508D97EE15611641	*	 	 	0101000020D410000025D61D14BA950B40C034C04611A34940	0101000020E6100000A209AACC66950B401C41A371F4A24940
104950	17	738	17-738	1907	Aardenburg II	R. C. Stang onder kruis	0101000020806C040085EB51B8FEDFD24014AE47E12D631641	01010000204071000085EB51B8FEDFD24014AE47E12D631641	 	 	 	0101000020D4100000E0E7945A278B0B40ECCF77EE35A34940	0101000020E6100000E6B97178D48A0B40582F6C1819A34940
104951	17	739	17-739	1912	Aardswoud	H. K. Stang onder knop	0101000020806C040085EB51B84A9EFE4052B81E056F212041	01010000204071000085EB51B84A9EFE4052B81E056F212041	 	 	 	0101000020D4100000B09ACCBA38CC13402FC0B47B525F4A40	0101000020E6100000E3A67B51D8CB13408DEED5DC2F5F4A40
104952	17	740	17-740	1915	Aarlanderveen I	R. C. K. Stang boven knop	0101000020806C04008FC2F52818C0FA4052B81E85DE3A1C41	0101000020407100008FC2F52818C0FA4052B81E85DE3A1C41	*	 	 	0101000020D4100000A47E820124E51240F37D905B32134A40	0101000020E6100000CF5E327BCBE41240AF24AB0912134A40
104953	17	741	17-741	1915	Aarlanderveen II	H. K. Stang onder windvaan	0101000020806C0400713D0AD747D6FA40CDCCCCCC3E2C1C41	010100002040710000713D0AD747D6FA40CDCCCCCC3E2C1C41	*	 	 	0101000020D4100000629FF34494EA1240588A57A51F124A40	0101000020E6100000D148EB863BEA124027C0965BFF114A40
104954	17	742	17-742	1903	Aarle	R. C. K. Stang	0101000020806C0400000000008C0D0541B81E85EBCEE11741	010100002040710000000000008C0D0541B81E85EBCEE11741	 	 	 	0101000020D4100000A5C0354C9B8E1640D51241286FC14940	0101000020E6100000275926011F8E16407E9C3C3D51C14940
104955	17	743	17-743	1926	Abbega	H. K. Stang	0101000020806C04005C8FC2F5BC6C044114AE47E1DA0F2141	0101000020407100005C8FC2F5BC6C044114AE47E1DA0F2141	 	 	 	0101000020D41000002E9D96E0F5481640F1B3C9E583824A40	0101000020E6100000A50D10647D481640D041293060824A40
104956	17	182	17-182	1911	Abbekerk I	H. K. Stang	0101000020806C04008FC2F52840C7FF40F6285C0F86172041	0101000020407100008FC2F52840C7FF40F6285C0F86172041	*	 	 	0101000020D41000000BF8CE696014144015AE3CB5E45D4A40	0101000020E610000024BABC3BFD131440A9653A20C25D4A40
104957	17	744	17-744	1912	Abbekerk II	R. C. K. Stang	0101000020806C040000000000E073FF4085EB51B87F0E2041	01010000204071000000000000E073FF4085EB51B87F0E2041	 	 	 	0101000020D4100000C60A679A3E001440AC0D56728E5C4A40	0101000020E610000023E1652DDCFF13409650EAE76B5C4A40
104958	17	745	17-745	1913	Abbenbroek	H. K. Stang	0101000020806C0400C3F5285C0F8FF24048E17A14FE361A41	010100002040710000C3F5285C0F8FF24048E17A14FE361A41	*	 	 	0101000020D4100000F6D1D2EDF2F61040DE4A4FFBBAEC4940	0101000020E6100000464CAE6BACF61040CC2406DB9BEC4940
104959	17	746	17-746	1915	Abbenes	H. K. Stang boven knop	0101000020806C040048E17A14EE8EF8400AD7A3702BD01C41	01010000204071000048E17A14EE8EF8400AD7A3702BD01C41	*	 	 	0101000020D4100000B1B209CE3A5D12408860A008161E4A40	0101000020E6100000FE23C889E75C1240D3B8A965F51D4A40
104960	17	183	17-183	1908	Abcoude I	H. K. Stang boven bol	0101000020806C0400C3F5285C33F5FE4085EB51B8450F1D41	010100002040710000C3F5285C33F5FE4085EB51B8450F1D41	*	 	 	0101000020D4100000E8A5F4D4D9E51340892968EFFB224A40	0101000020E6100000359E7CCE77E5134064FEE01FDB224A40
104961	18	747	18-747	1917	Abcoude II	R. C. K. Stang boven knop	0101000020806C0400F6285C8F6EFFFE40713D0AD75C101D41	010100002040710000F6285C8F6EFFFE40713D0AD75C101D41	*	 	 	0101000020D4100000CC94E31C4DE8134080AB17C310234A40	0101000020E61000009227F4FEEAE7134036AAE6F2EF224A40
104962	18	184	18-184	1902	Achel	R. C. K. Stang	0101000020806C04005C8FC2F51EB403415C8FC2F50D251641	0101000020407100005C8FC2F51EB403415C8FC2F50D251641	 	 	 	0101000020D410000012D043AC01EB1540E9E45CF6B5A04940	0101000020E6100000770B913B8BEA15401818E00799A04940
104963	18	748	18-748	1902	Achelsche-Kluis (B.)	Trappistenklooster. Dakruiter. Stang boven knop	0101000020806C0400295C8FC2F7C703411F85EB5152721641	010100002040710000295C8FC2F7C703411F85EB5152721641	 	 	 	0101000020D410000025F59A916CF41540816E576D66A64940	0101000020E61000009A0294D1F5F3154033E0225349A64940
104964	18	749	18-749	1926	Achlum	H. K. Stang	0101000020806C04000AD7A37063B303415C8FC2F550802141	0101000020407100000AD7A37063B303415C8FC2F550802141	 	 	 	0101000020D4100000C418CF4BBBEE1540F28F7C6516934A40	0101000020E61000005290FA6446EE1540CEF64231F2924A40
104965	18	750	18-750	1903	Acht	R. C. K. Stang boven knop	0101000020806C040014AE47E13244034166666666BDAC1741	01010000204071000014AE47E13244034166666666BDAC1741	 	 	 	0101000020D41000009A8BF186ABB615401C73FF518FBD4940	0101000020E6100000F9ADD83837B615406185D98671BD4940
104966	18	751	18-751	1907	Achterbroek	R. C. K. Stang	0101000020806C0400E17A14AE13C9F640713D0AD77F221741	010100002040710000E17A14AE13C9F640713D0AD77F221741	 	 	 	0101000020D4100000B4A727195F011240DF9EAEF0F2B24940	0101000020E6100000E5461ADD0D011240EFCEE485D5B24940
104967	18	752	18-752	1907	Achterveld	R. C. K. Stang	0101000020806C04001F85EB5184D70341D7A3703DC41F1C41	0101000020407100001F85EB5184D70341D7A3703DC41F1C41	 	 	 	0101000020D41000007E9301A9CCFD15400053C3F76E114A40	0101000020E6100000F1AD7A4756FD1540160717A84E114A40
104968	18	753	18-753	1908	Achthuizen	R. C. K. Stang boven knop	0101000020806C0400A4703D0AC72EF340295C8FC2C11D1941	010100002040710000A4703D0AC72EF340295C8FC2C11D1941	 	 	 	0101000020D410000080CF7BCAFD2011403228298711D84940	0101000020E6100000EE4DB167B5201140C71A7B04F3D74940
104969	18	754	18-754	1907	Achtmaal	R. C. K. Stang boven knop	0101000020806C04007B14AE471136F840CDCCCCCCEE831741	0101000020407100007B14AE471136F840CDCCCCCCEE831741	 	 	 	0101000020D4100000D404ED214B56124020AF649B33BA4940	0101000020E61000002F6D79D8F6551240E8C146F715BA4940
104970	18	185	18-185	1906	Acquoy. (Exc.)	H. K. Gasbuis in platform	0101000020806C0400EC51B81EC9D100410AD7A370CC621A41	010100002040710000EC51B81EC9D100410AD7A370CC621A41	*	 	 	0101000020D410000065CCB86EE58C1440265FD288A3F04940	0101000020E61000007241CEA27C8C14402E99723984F04940
104971	18	755	18-755	1920	Adorp	H. K. Stang boven bol	0101000020806C040000000000B0420C41F6285C0F0AF32141	01010000204071000000000000B0420C41F6285C0F0AF32141	 	 	 	0101000020D410000082465F5D91231A40958A556448A34A40	0101000020E61000003EF0CEF6F2221A40BDDE3EAE23A34A40
104972	18	756	18-756	1920	Aduard II	G. K. Stang	0101000020806C04008FC2F5286EA70B410AD7A3705EE32141	0101000020407100008FC2F5286EA70B410AD7A3705EE32141	 	 	 	0101000020D4100000CA6A63FDD8D6194046D8896010A14A40	0101000020E6100000A97BC48D3DD61940670381BBEBA04A40
104973	18	757	18-757	1925	Aegum	H. K. Stang	0101000020806C0400CDCCCCCCDE850641C3F528DCC5712141	010100002040710000CDCCCCCCDE850641C3F528DCC5712141	 	 	 	0101000020D410000093B07D3F72501740CD7D12E0D8904A40	0101000020E6100000423AEEB4EF4F1740F9D20CBAB4904A40
104974	18	758	18-758	1916	Aerdenhout	Landgoed Kareol. Watertoren. Stang	0101000020806C04007B14AE4745A0F8400AD7A37040A71D41	0101000020407100007B14AE4745A0F8400AD7A37040A71D41	*	 	 	0101000020D41000009DD7DF57205F1240B48E8413ED2D4A40	0101000020E61000008EC43E36CD5E1240D368D2F6CB2D4A40
104975	18	759	18-759	1900	Aerdt	H. K. Stang boven knop	0101000020806C04005C8FC2F558BF0841C3F5285CAF801A41	0101000020407100005C8FC2F558BF0841C3F5285CAF801A41	 	 	 	0101000020D41000003A777F7F1F531840C97588989CF24940	0101000020E6100000E83F878B92521840252C2A317DF24940
104976	18	760	18-760	1899	Afferden (Gld.)	R. C. K. Dakruiter. Stang boven knop	0101000020806C0400713D0AD7FD03054152B81E8545671A41	010100002040710000713D0AD7FD03054152B81E8545671A41	 	 	 	0101000020D4100000071D71CF2E8C1640378104EAF7F04940	0101000020E610000020D975E1B28B164004484392D8F04940
104977	18	761	18-761	1900	Afferden (Lmb.)	R. C. K. Stang	0101000020806C0400713D0AD7C12D0841A4703D0A41BB1841	010100002040710000713D0AD7C12D0841A4703D0A41BB1841	 	 	 	0101000020D4100000BA4375941D0A1840A755AB4045D14940	0101000020E6100000FB503540930918405DCE83D926D14940
105231	27	222	27-222	1912	Bedum I	H. K. Stang	0101000020806C0400C3F5285CDBD00C41E17A142E1A0B2241	010100002040710000C3F5285CDBD00C41E17A142E1A0B2241	*	 	 	0101000020D41000007BF7396A326A1A40BBB15639BDA64A40	0101000020E61000005777174891691A4028A8B96898A64A40
104978	18	762	18-762	1899	St.-Agatha	Kruisheerenklooster. Dakruiter. Stang onder kruis	0101000020806C040085EB51B87E640741D7A3703D01451941	01010000204071000085EB51B87E640741D7A3703D01451941	 	 	 	0101000020D41000006A9377C5CBAB1740484D0C1B79DB4940	0101000020E610000057E427FE44AB1740C6D721665ADB4940
104979	18	186	18-186	1910	Akersloot I	R. C. K. Stang boven knop	0101000020806C0400713D0AD74711FB40CDCCCCCCF1081F41	010100002040710000713D0AD74711FB40CDCCCCCCF1081F41	*	 	 	0101000020D4100000F0A1853066F212401631EA3515484A40	0101000020E6100000DF1146CE0DF21240B4216B4DF3474A40
104980	18	763	18-763	1910	Akersloot II	H. K. Stang boven knop	0101000020806C0400A4703D0ACFF2FA40295C8FC2CF061F41	010100002040710000A4703D0ACFF2FA40295C8FC2CF061F41	 	 	 	0101000020D410000003D4A6FD0DEB124083C73DB5EB474A40	0101000020E6100000F8D058E2B5EA12408CEF1FCEC9474A40
104981	18	764	18-764	1925	Akkerwoude	H. K. Stang onder kruis	0101000020806C04005C8FC2F582BA07416666666696FD2141	0101000020407100005C8FC2F582BA07416666666696FD2141	 	!	 	0101000020D4100000BE53B78FCEE91740A1F575DA59A54A40	0101000020E61000002A7DEE2F46E91740325EC11535A54A40
104982	18	765	18-765	1926	Akkrum I	H. K. Stang boven bol	0101000020806C04007B14AE477D920641C3F528DC3A2B2141	0101000020407100007B14AE477D920641C3F528DC3A2B2141	*	 	 	0101000020D4100000F213BC1CC55517402F09B32875864A40	0101000020E6100000ABE95851425517408791915251864A40
104983	18	766	18-766	1925	Akkrum II	Doopsgezinde kerk. Stang	0101000020806C0400C3F5285C91950641CDCCCCCC502B2141	010100002040710000C3F5285C91950641CDCCCCCC502B2141	 	 	 	0101000020D4100000EAAAE98446571740B135AE3578864A40	0101000020E6100000A82BB9AAC356174048AF725F54864A40
104984	18	767	18-767	1905	Albergen	R. C. K. Stang boven knop	0101000020806C04008FC2F528CA5E0E41713D0AD75FCB1D41	0101000020407100008FC2F528CA5E0E41713D0AD75FCB1D41	 	 	 	0101000020D41000005EED47B38F0F1B40F7420FCBE62F4A40	0101000020E6100000981A4B69E80E1B40AE18808CC52F4A40
104985	18	768	18-768	1916	Alblasserdam I	H. K. Makelaar boven knop	0101000020806C0400B81E85EBC58BF94048E17A142D491A41	010100002040710000B81E85EBC58BF94048E17A142D491A41	*	 	 	0101000020D410000016EAA5A720A01240D8BF2C9B7EEE4940	0101000020E6100000D4E38145CA9F124072E461645FEE4940
104986	18	769	18-769	1916	Alblasserdam II	Alleenstaande toren. Stang onder kruis	0101000020806C0400AE47E17A5CBFF940F6285C8F50481A41	010100002040710000AE47E17A5CBFF940F6285C8F50481A41	*	 	 	0101000020D410000033B28B3568AC1240BDF11DCB70EE4940	0101000020E6100000BAC2A75D11AC1240AABB819451EE4940
104987	18	770	18-770	1916	Alblasserdam III	G. K. Stang boven kruis	0101000020806C0400D7A3703D7259F94004560EAD47511A41	010100002040710000D7A3703D7259F94004560EAD47511A41	*	 	 	0101000020D41000001F0F03D11394124047704BF714EF4940	0101000020E6100000060B20E4BD931240DA0339BCF5EE4940
104988	18	187	18-187	1907	Alblasserdam IV	Watertoren. Vlaggestok	0101000020806C0400713D0AD763A7F94014AE47E139341A41	010100002040710000713D0AD763A7F94014AE47E139341A41	*	 	 	0101000020D41000001C396242E5A61240B33FE5FBF4EC4940	0101000020E6100000293F979A8EA61240AE28C7D0D5EC4940
104989	19	771	19-771	1900	Aldeneiijk (B.)	R. C. K. Stang onder kruis	0101000020806C0400B81E85EB5D7F0641F6285C8FDC1C1541	010100002040710000B81E85EB5D7F0641F6285C8FDC1C1541	 	 	 	0101000020D4100000ED88B3745A391740D1B0F69A298D4940	0101000020E6100000B46AC095D73817407FE8583F0D8D4940
104990	19	772	19-772	1901	Aldengoor	Kasteel. Stang boven knop	0101000020806C04009A99999971C0074100000000C3FF1541	0101000020407100009A99999971C0074100000000C3FF1541	 	 	 	0101000020D410000075CE4A6A39D117408CC21BD4CA9D4940	0101000020E6100000C9F05A04B1D017402CAB0CF8AD9D4940
104991	19	188	19-188	1904	Alem	R. C. K. Stang boven knop	0101000020806C0400D7A3703D5C84024148E17A1415C51941	010100002040710000D7A3703D5C84024148E17A1415C51941	*	 	 	0101000020D4100000ACFECF14D55B15402CE351A50EE54940	0101000020E61000004A104873645B15400F4E29ACEFE44940
104992	19	80	19-80	1898	Alkmaar I	Waagtoren. Stang	0101000020806C040075931804B84FFB40B4C8763E2D811F41	01010000204071000075931804B84FFB40B4C8763E2D811F41	*	 	^	0101000020D4100000782F7C95760013403EE3D409F2504A40	0101000020E6100000D8D0F7C51D0013406532F4DCCF504A40
104993	19	3498	19-3498	1910	Alkmaar I	Waagtoren. Stang boven knop	0101000020806C04001904560EB74FFB40C520B0722D811F41	0101000020407100001904560EB74FFB40C520B0722D811F41	*	 	^	0101000020D41000003C668F5976001340C206A30DF2504A40	0101000020E6100000625B0D8A1D001340BC39C2E0CF504A40
104994	19	3499	19-3499	1927	Alkmaar I	Waagtoren. Stang boven knop	0101000020806C0400736891EDB64FFB402FDD24862D811F41	010100002040710000736891EDB64FFB402FDD24862D811F41	*	 	 	0101000020D4100000A7AE765176001340B361100FF2504A40	0101000020E610000024F7F4811D001340DD892FE2CF504A40
104995	19	773	19-773	1910	Alkmaar II	R. C. K. H. Dominicus. Stang	0101000020806C040085EB51B82642FB401F85EB5145801F41	01010000204071000085EB51B82642FB401F85EB5145801F41	 	 	 	0101000020D4100000BB4DBCF42FFD1240A6EBDB65E0504A40	0101000020E610000014B6EC44D7FC124080F69139BE504A40
104996	19	774	19-774	1911	Alkmaar III	St.-Laurenskerk. H. K. Stang boven knop	0101000020806C0400E17A14AE8F35FB400000000059831F41	010100002040710000E17A14AE8F35FB400000000059831F41	 	!	 	0101000020D41000009C8331221DFA12408E929ADD19514A40	0101000020E6100000CD740891C4F912409D0BA5AFF7504A40
104997	19	775	19-775	1911	Alkmaar IV	Watertoren. Stang	0101000020806C0400E17A14AE7716FB40B81E85EB5B8A1F41	010100002040710000E17A14AE7716FB40B81E85EB5B8A1F41	 	 	 	0101000020D410000077BB2CF286F21240191162B59C514A40	0101000020E6100000B91E8CAC2EF21240D8DEA1837A514A40
104998	19	776	19-776	1910	Alkmaar V	De Kapel. H. K. Stang boven knop	0101000020806C040014AE47E12250FB40F6285C8FD87D1F41	01010000204071000014AE47E12250FB40F6285C8FD87D1F41	 	 	 	0101000020D410000001160FB89700134017A77B46B3504A40	0101000020E6100000DC6284E63E001340BEDA7C1B91504A40
104999	19	777	19-777	1911	Alkmaar VI	Stadhuis. Top	0101000020806C04007B14AE47313EFB4052B81E8524821F41	0101000020407100007B14AE47313EFB4052B81E8524821F41	 	!	 	0101000020D4100000D139DA9136FC1240CEECB78303514A40	0101000020E61000005D52F6EBDDFB1240D5826456E1504A40
105000	19	778	19-778	1910	Alkmaar VII	R. C. K. H. Laurentius. Stang boven knop	0101000020806C0400F6285C8FAE58FB409A9999999D7E1F41	010100002040710000F6285C8FAE58FB409A9999999D7E1F41	 	 	 	0101000020D410000055F1467DA7021340EAAF0C23C2504A40	0101000020E610000099F3D3974E021340AC2392F79F504A40
105001	19	779	19-779	1911	Alkmaar VIII	R. C. K. H. Joseph. Stang boven knop	0101000020806C0400A4703D0AE325FB40A4703D0A3A811F41	010100002040710000A4703D0AE325FB40A4703D0A3A811F41	 	 	 	0101000020D4100000C21B58A956F612406712F63AF1504A40	0101000020E61000005293793CFEF51240A06B4A0ECF504A40
105002	19	780	19-780	1911	Alkmaar IX	Kapel. R.C. begraafpplaats. Stang boven knop	0101000020806C0400CDCCCCCCF803FB40D7A3703D12761F41	010100002040710000CDCCCCCCF803FB40D7A3703D12761F41	 	 	 	0101000020D410000050737F683AEE1240051251871D504A40	0101000020E610000008630E48E2ED1240B1902661FB4F4A40
105003	19	781	19-781	1910	Alkmaar X	Accijnstoren. Stang boven knop	0101000020806C0400AE47E17A0463FB4014AE47E1137C1F41	010100002040710000AE47E17A0463FB4014AE47E1137C1F41	 	 	^	0101000020D410000042D0BD572D051340F43315BA92504A40	0101000020E610000025662259D40413404D81FB8F70504A40
105004	19	782	19-782	1926	Allingawier I	H. K. Stang	0101000020806C04009A99999927650341333333B35B292141	0101000020407100009A99999927650341333333B35B292141	 	 	 	0101000020D4100000046BEDF545C81540D9271F6449864A40	0101000020E61000000E121372D2C71540D311C99225864A40
105005	19	783	19-783	1926	Allingawier II	G. K. Stang	0101000020806C04001F85EB51EA63034114AE4761BF282141	0101000020407100001F85EB51EA63034114AE4761BF282141	 	 	 	0101000020D4100000224255A9AAC7154015A81A6232864A40	0101000020E6100000B16E472B37C71540723D77910E864A40
105006	19	189	19-189	1904	Almelo I	H. K. Stang boven knop	0101000020806C0400B81E85EB258E0D4114AE47E19CAF1D41	010100002040710000B81E85EB258E0D4114AE47E19CAF1D41	*	 	 	0101000020D4100000A30BBFA9B3AA1A40CF5B3EA3FF2D4A40	0101000020E610000055FA7D3110AA1A40B29E1173DE2D4A40
105007	19	784	19-784	1905	Almelo II	R. C. K. Stang	0101000020806C04009A9999996D8B0D411F85EB512CB21D41	0101000020407100009A9999996D8B0D411F85EB512CB21D41	 	 	 	0101000020D410000088F476DC6FA91A40D4B9EF57302E4A40	0101000020E6100000B3E86670CCA81A40FB394C260F2E4A40
105008	19	785	19-785	1905	Almelo III	Watertoren. Stang	0101000020806C0400713D0AD703580D41C3F5285C11AA1D41	010100002040710000713D0AD703580D41C3F5285C11AA1D41	 	 	 	0101000020D4100000C6B0566392901A40D1C6640CA02D4A40	0101000020E6100000529B40E8EF8F1A40A6200BDF7E2D4A40
105009	19	190	19-190	1905	Almen	H. K. Stang boven bol	0101000020806C04000AD7A37037900A4148E17A14304C1C41	0101000020407100000AD7A37037900A4148E17A14304C1C41	*	 	 	0101000020D4100000C249AC4BF2351940DAC65EC341144A40	0101000020E6100000046A0EE55C351940B64CF45821144A40
105010	19	786	19-786	1906	Almkerk	H. K. Stang boven knop	0101000020806C040052B81E8583BEFE4014AE47E12BA91941	01010000204071000052B81E8583BEFE4014AE47E12BA91941	 	 	 	0101000020D41000005362DBAC91DD134058B4A0FCE7E24940	0101000020E6100000F1EB814C2FDD1340B5FE4519C9E24940
105011	19	787	19-787	1906	Alphen (Gld.)	H. K. Stang	0101000020806C0400000000006AA40341AE47E17A23FE1941	010100002040710000000000006AA40341AE47E17A23FE1941	 	 	 	0101000020D4100000FC50F999B8E415404D21CB9341E94940	0101000020E61000004EA3F6E242E4154021C7DD7822E94940
105012	19	191	19-191	1905	Alphen (N. Br.)	R. C. K. Stang boven knop	0101000020806C0400713D0AD7A380FE40D7A3703DF1B51741	010100002040710000713D0AD7A380FE40D7A3703DF1B51741	*	 	 	0101000020D41000002FFABCB8B2D11340311932C022BE4940	0101000020E61000003116546950D1134026B328F704BE4940
105013	19	192	19-192	1910	Alphen (Z. H.) II	Oude watertoren. Vlaggestok	0101000020806C0400F6285C8F7A97F94085EB51B8CA2C1C41	010100002040710000F6285C8F7A97F94085EB51B8CA2C1C41	*	 	 	0101000020D410000084C32372449E1240B3C4A38A1B124A40	0101000020E610000053275D93EE9D124055E56D42FB114A40
105014	19	788	19-788	1915	Alphen (Z. H.) II	H. K. Stang	0101000020806C0400666666660EB4F940E17A14AE34181C41	010100002040710000666666660EB4F940E17A14AE34181C41	*	 	^	0101000020D4100000FE5936034EA51240D553A0D898104A40	0101000020E610000024B0CCDBF7A412400950E29B78104A40
105346	31	86	31-86	1894	Bladel	R. C. K. Stang	0101000020806C04003D0AD7A3408101417F6ABC74E5EB1641	0101000020407100003D0AD7A3408101417F6ABC74E5EB1641	*	 	 	0101000020D41000002B2C8A6957E21440C535B10058AF4940	0101000020E6100000CF7616DDEAE114404D7224A53AAF4940
105015	19	789	19-789	1915	Alphen (Z.H.) III	R. C. K. Stang boven knop	0101000020806C0400B81E85EB5DB0F94048E17A1451161C41	010100002040710000B81E85EB5DB0F94048E17A1451161C41	*	 	 	0101000020D4100000FDE949A570A4124087B9241075104A40	0101000020E6100000BE3CC2851AA41240ADB97DD454104A40
105016	19	790	19-790	1917	Alphen (Z. H.) IV	C. G. K. Stang onder bloem	0101000020806C0400AE47E17A94BEF940B81E85EBE4121C41	010100002040710000AE47E17A94BEF940B81E85EBE4121C41	*	 	 	0101000020D4100000DF2FC1A8DFA71240B252D23735104A40	0101000020E6100000B38D5A6789A71240910E05FE14104A40
105232	27	959	27-959	1920	Bedum II	R. C. K. Stang	0101000020806C040052B81E85CDD30C415C8FC275370B2241	01010000204071000052B81E85CDD30C415C8FC275370B2241	 	 	 	0101000020D4100000A59EE70BA66B1A4004A8A510C1A64A40	0101000020E6100000FB4D65DB046B1A405492EB3F9CA64A40
105017	20	791	20-791	1917	Alphen (Z.H) V	St.-Josephgesticht. Hoofdgebouw. Stang boven knop	0101000020806C040014AE47E102B6F94048E17A1454141C41	01010000204071000014AE47E102B6F94048E17A1454141C41	*	 	 	0101000020D41000005CBC2046CFA51240359B98D94F104A40	0101000020E6100000FBB2F01879A51240A3C8089F2F104A40
105018	20	3500	20-3500	1915	Alphen (Z.H) VI. (Exc.)	Nieuwe watertoren. vastlegging II	0101000020806C04006666666636BBF9409A999999C80F1C41	0101000020407100006666666636BBF9409A999999C80F1C41	*	 	 	0101000020D4100000D688AAFE18A71240CB698C6CFA0F4A40	0101000020E610000098CA01C4C2A61240FA748634DA0F4A40
105019	20	792	20-792	1906	Altforst	R. C. K. Stang	0101000020806C04007B14AE47956A0441713D0AD7812C1A41	0101000020407100007B14AE47956A0441713D0AD7812C1A41	 	 	 	0101000020D410000008199CE706431640DE7D7256A8EC4940	0101000020E610000013F6AAAF8D421640D7C5752089EC4940
105020	20	793	20-793	1904	Amby	R. C. K. Stang	0101000020806C04003333333399E20541713D0AD7477B1341	0101000020407100003333333399E20541713D0AD7477B1341	 	 	 	0101000020D41000005B069D2C29EE1640327684C7706E4940	0101000020E6100000E29B76EAA8ED164046BFD957556E4940
105021	20	794	20-794	1917	Ameide	H. K. Stang onder kruis	0101000020806C0400713D0AD797B4FE40E17A14AEB0EB1A41	010100002040710000713D0AD797B4FE40E17A14AEB0EB1A41	*	 	 	0101000020D410000007E155096CD91340DC7B7FB9A7FA4940	0101000020E6100000B61D500F0AD913408FB5E61F88FA4940
105022	20	2	20-2	1897	Ameland	Pijler	0101000020806C0400F853E3A5C91D064100000000E88D2241	010100002040710000F853E3A5C91D064100000000E88D2241	*	 	 	0101000020D410000044649EF3872017400B3D48BFB3BA4A40	0101000020E6100000A5DF93770720174058D67F578EBA4A40
105023	20	795	20-795	1901	America	R. C. K. Dakruiter. Stang boven knop	0101000020806C040033333333A1F10741F6285C8F89631741	01010000204071000033333333A1F10741F6285C8F89631741	 	 	 	0101000020D410000076AAF8B002EB17405CB25848FAB74940	0101000020E61000005B80A76E79EA1740A0AA5EA3DCB74940
105024	20	193	20-193	1907	Amerongen	H. K. Stang boven knop	0101000020806C04000AD7A370D98A03410000000004311B41	0101000020407100000AD7A370D98A03410000000004311B41	*	 	 	0101000020D41000006EF3AFE2DDD8154036ADE711DBFF4940	0101000020E6100000AE6A78C568D815401D0A9B49BBFF4940
105025	20	3	20-3	1895	Amersfoort I	Lieve-Vrouwetoren. Stang onder windvaan	0101000020806C040000000000C0EB02410000000060421C41	01010000204071000000000000C0EB02410000000060421C41	*	 	 	0101000020D410000005BE7935F18C1540A884AF11FD134A40	0101000020E6100000F3386B187F8C154002059DAFDC134A40
